id,name,url,commit_hash,c_files,h_files
30ce12bd-35db-4fdb-9e0c-bd715863f799,db_tutorial,https://github.com/cstack/db_tutorial.git,93278106af213cb1d97a671deacd98451b6fe4f3,1,0
1261f535-bb4a-4a04-ab6d-2ffd4a8a73c2,go-sqlite3,https://github.com/mattn/go-sqlite3.git,7ce62b2ade0b712c46b1ecc6a0ee179dc417816c,3,3
36420299-c53c-4fd3-adfa-e9b2d1ef6a0f,sysbench,https://github.com/akopytov/sysbench.git,df89d34c410a2277e19f77e47e535d0890b2029b,234,192
1b0df1d0-5eee-4f7e-bfb1-b7fbfe418726,MaxScale,https://github.com/mariadb-corporation/MaxScale.git,e7e1c2c37286cbfa9548e8022ee44ab438a10008,294,62
bcfbee43-c75e-45d4-b47f-53655b80db97,wcdb,https://github.com/Tencent/wcdb.git,882c7f0fdb2e5728be836e5f676c82a3a13e5f83,1266,891
cb9c1b40-dff8-4172-a5b0-29f5e1344518,tz,https://github.com/eggert/tz.git,85dbb1ae5bced2e1c9c2e30a6e068596499e6d48,7,2
9842da25-665e-466a-930b-c8f6a029c563,psycopg2,https://github.com/psycopg/psycopg2.git,e8d92b74fd4b219cb4725cb906c526f3f2dce31d,41,37
cbc78e81-3af4-49e9-b09c-05cc597fdfaa,RedisGraph,https://github.com/RedisGraph/RedisGraph.git,4e49c8771d288331ab4eedc91ad8364a4ce279ac,4278,817
70c119e6-d6d4-454e-ae0c-d5f9c6b14483,sqlitestudio,https://github.com/pawelsalawa/sqlitestudio.git,53c7a962e3576bd13f1b194179de121043d24bcf,4,512
44fbd440-23f7-439e-a1e2-43bbc3589144,unqlite,https://github.com/symisc/unqlite.git,9c4cd308e139a21a20247d13af77fde8a2556503,34,5
9323c209-3cfc-470b-927d-4a66aaa6ab57,dqlite,https://github.com/canonical/dqlite.git,690818bbbb9bcb08be58eff94c07a3ca14fe4578,67,59
151c33bf-9795-4115-a58d-9920d1b90d90,yugabyte-db,https://github.com/yugabyte/yugabyte-db.git,8f446576ed9200989f68c9fbf1df352d498c3afa,1483,2256
f9347fff-d11d-4cf1-8502-0133424dd470,mydumper,https://github.com/mydumper/mydumper.git,5d4fef675df2d1fb0935080f21fffe89ddee0581,39,38
050e9d85-f10a-4742-820d-4a85c1568ae9,TBase,https://github.com/Tencent/TBase.git,4887e3a62a4d72ab7b04ad538cfcfb8bbf9cc9c7,1394,953
657f4c29-7f35-4e99-8691-f251d7dc64d8,rediSQL,https://github.com/RedBeardLab/rediSQL.git,26156275a25ae101cd7e6ad3037ead54bd5b5e5e,3,6
81a791c9-b191-435b-82a9-39b22cecf346,pg_repack,https://github.com/reorg/pg_repack.git,f889f6a9d4fefdeec704cccc10bc6507255fa2a4,5,4
022a1a5d-1e31-442c-86eb-8ff0e2f8c8b3,agensgraph,https://github.com/bitnine-oss/agensgraph.git,a172192e2778b0f909e2793a4f4d8e70ca538ce8,1293,869
b6312203-5458-4597-88ea-ab44e62b4546,gpdb,https://github.com/greenplum-db/gpdb.git,a668a89d611acdf9bb0a1b6b430efb1c206fa777,1618,2317
7d85e548-ef70-4d6a-855d-c360c36de472,PolarDB-for-PostgreSQL,https://github.com/ApsaraDB/PolarDB-for-PostgreSQL.git,3f150f47a7caf3ee6afeb392ac9312e11e1364db,1444,2225
17b2d4aa-64af-47e4-888d-cb4921847a29,sqlcipher,https://github.com/sqlcipher/sqlcipher.git,8763afaf13231cb1fc835b52c94ada23f8e47b3d,346,59
f0200001-9029-4547-9c8a-c965c5945553,timescaledb,https://github.com/timescale/timescaledb.git,ef25fb9ec79d8cbe7d75fdc24fe1e3221f383d15,230,200
547a8c8e-0766-4bed-bf21-3567daf59bc1,libsql,https://github.com/libsql/libsql.git,ea9044ef8ad54f1a5b8e544bb8bef021a9957bae,339,51
1e00284a-9a6b-4f22-85c4-d51fb1d7c6ce,TDengine,https://github.com/taosdata/TDengine.git,30f61ff9d207e4b631d2a78a309264f8d966e481,453,310
43305706-9bc2-4367-acac-e45f143661db,litetree,https://github.com/aergoio/litetree.git,fdae3ab0f5aad611ca3e948dd554057a602a1384,2,2
10a53690-fa75-45f0-9c93-4a18f1075f2b,whatsapp-viewer,https://github.com/andreas-mausch/whatsapp-viewer.git,f857da400a8b4a7e02138daf1c7f0947860fad17,88,196
237f73a6-1ed5-431d-a340-a5ea25235988,FlashDB,https://github.com/armink/FlashDB.git,f21e80fbc4c7b555e01bd208e46564d2b4a47000,233,372
a3fb77e9-262d-4ba5-a374-fad17ddc0d29,redis,https://github.com/redis/redis.git,7dae142a2ebf909a63df13e5813c073c79be521f,338,231
c233285b-5581-4201-9990-2447169adbb1,age,https://github.com/apache/age.git,47ddb82f1899b7ae1c840f9d7556006d466785d9,49,44
6b87c094-86f0-4919-9334-6fea234e97d1,traildb,https://github.com/traildb/traildb.git,053ed8e5d0301c792f3ee703cd9936c49ecf41a1,68,26
d11bcb18-a210-4efc-8f43-a37f615f0ebd,orioledb,https://github.com/orioledb/orioledb.git,120c9588c3944597a725c603cc54bf4eecfa0ca7,62,50
e108f0b8-7217-4b12-bfde-62190005fd0f,cetus,https://github.com/session-replay-tools/cetus.git,d82b8b0366c9ccba394c1160bc98b83b36900028,70,66
82b68673-35af-4697-a9f0-fe5e0ab62e44,FTL,https://github.com/pi-hole/FTL.git,f380afda329f9c53c77c3318301b5ac6fe32c836,150,88
7e1fa5c8-5778-4fc7-b9d8-364c9cfac9f1,rlite,https://github.com/seppo0010/rlite.git,a7775c6523f3f5a0783dba985a174249b8f9de72,111,62
32d2d69b-5a7b-4715-9148-bad17764cc34,ejdb,https://github.com/Softmotions/ejdb.git,bd667665400d9e3e57c4b7013ce6e6c0c4556ee3,26,18
de2ed364-52b2-43d1-ab6c-1bac7ef2c3f9,libmdbx,https://github.com/erthink/libmdbx.git,bb8f43181783686879219846d64379a04c1430e3,15,17
f50ac1de-3068-4bf3-b1be-dde9937989c3,acl,https://github.com/acl-dev/acl.git,540650660e6cb1ac1cc8220f63fcdf43026e281f,665,1733
52588496-5ef4-465c-bab0-9298fe64d521,citus,https://github.com/citusdata/citus.git,3200187757600180fa2b90a5fdba13cbf8aee8b6,474,166
ab683f7b-5bb4-4f4b-9cb6-8c37925fcae5,Ditto,https://github.com/sabrogden/Ditto.git,809dbcb4142acff68a2f999b4b688dd5ed39b909,13,226
35ba3663-48b2-4a18-9fcd-fd0e4826cdec,redis,https://github.com/tporadowski/redis.git,c59c9365be41e8936fef00af5b1b149ab91b70ba,279,252
1c8a65fe-7bb8-49dd-9812-2ce5dadd4e6d,pgbackrest,https://github.com/pgbackrest/pgbackrest.git,779efe0d7a54340141e01597279e9ab1d0bd0773,303,240
